Date,USD Price,ETH Price,Benchmark Price
06-06-2022,588.7152097138863,0.32610712314543566,1.0
13-06-2022,543.484002695066,0.37301112535819464,1.0702765735743345
20-06-2022,375.55498345837066,0.33355612051650296,0.8945357922625841
27-06-2022,400.34935532208067,0.333265231932728,0.9079798139894307
04-07-2022,376.584392723895,0.3502046777888559,0.9291535942081949
11-07-2022,425.8843783014894,0.36431220930662866,0.9859077598064463
18-07-2022,496.4565915600813,0.3692607484527803,1.0359824681212753
25-07-2022,522.8006290544071,0.32653731128870267,0.9635582943649631
01-08-2022,504.2271688481769,0.299557464484977,0.8978865265764617
08-08-2022,454.41747322320566,0.2674615787261492,0.8040698441058547
15-08-2022,474.02541147116096,0.24459484419021021,0.768425074030403
22-08-2022,446.6443887170152,0.2749863054480999,0.8150516213274117
29-08-2022,370.973352498811,0.2584871678012699,0.7384768387626659
05-09-2022,370.6979298506968,0.23515539819109843,0.6906233362220238
12-09-2022,375.71178745086087,0.2133110050762948,0.6488053197136039
19-09-2022,368.426939804883,0.2756992798515647,0.7722220786045855
26-09-2022,363.68203600939984,0.2809465579646242,0.7802625968328587
03-10-2022,356.31039979105384,0.27860146190504265,0.7712946194546147
10-10-2022,359.76712921004105,0.2719957233331929,0.759747605619361
17-10-2022,369.9844279421812,0.2830877977218943,0.7882084159333059
24-10-2022,382.48758563007453,0.2805676827692348,0.7901358464941866
31-10-2022,436.647193507353,0.27458473140551237,0.8085702171147957
07-11-2022,493.4766503244605,0.3139116267296944,0.9211440046608408
14-11-2022,363.4513097767514,0.29698831355912925,0.8129264085038901
21-11-2022,412.58789625050366,0.3605428579324949,0.9706734759262297
28-11-2022,427.2802331001747,0.3569450406715819,0.9716372638284885
05-12-2022,516.2996331176892,0.40259762262874504,1.1153688644484419
12-12-2022,522.2983545181526,0.4130418813326845,1.1401167550702702
19-12-2022,511.70453277305353,0.4311405159741422,1.1711178479884055
26-12-2022,528.1600810572679,0.4331245181051345,1.1844909884751782
02-01-2023,539.5355448374876,0.4492303262049682,1.2238572234595966
09-01-2023,547.9907026359019,0.42586426290396673,1.180876909608531
16-01-2023,581.0373935970913,0.37453052590264996,1.0946456188423788
23-01-2023,644.1948324272946,0.39496671754144275,1.1721837338429244
30-01-2023,698.2266970624756,0.42376699936235734,1.2616537658556566
06-02-2023,682.3028774664343,0.4182656057235607,1.2413910258392482
13-02-2023,651.8290037746117,0.4303206900638867,1.2487810006596345
20-02-2023,701.6405343589757,0.4176111558219569,1.2510021948156431
